"id","conversation_id","full_text","url","hashtags/0","hashtags/1","hashtags/2","hashtags/3","hashtags/4","hashtags/5","hashtags/6","hashtags/7","hashtags/8","hashtags/9","hashtags/10","hashtags/11","hashtags/12","hashtags/13","hashtags/14","hashtags/15","hashtags/16","hashtags/17","hashtags/18","hashtags/19","hashtags/20","hashtags/21","hashtags/22","hashtags/23","hashtags/24","hashtags/25","hashtags/26","hashtags/27","hashtags/28","hashtags/29","hashtags/30","hashtags/31","hashtags/32","hashtags/33","hashtags/34","hashtags/35","view_count","favorite_count","retweet_count","reply_count","created_at"
"1648166332301742080","1648166332301742080","午後の仕事はまかした、ぐへッ

#猫
#cat https://t.co/WpAYJryNK1","https://twitter.com/alma_noir_cat/status/1648166332301742080","猫","cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"25029","1921","89","3","2023-04-18T03:27:29.000Z"
"1648161205524267008","1648161205524267008","...手が、閉じられにゃい。

#猫がいる暮らし   #猫好きさんと繋がりたい #猫 #cat https://t.co/Uj5I8fPZei","https://twitter.com/nekowoagameyo11/status/1648161205524267008","猫がいる暮らし","猫好きさんと繋がりたい","猫","cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"79256","4084","204","0","2023-04-18T03:07:07.000Z"
"1648130557736546305","1648130557736546305","🆘URGENT!🆘SENIOR ALERT🆘
💘SAD, SWEET 12YO #SENIOR ORANGE #TABBY KITTY ""MIME""💘
😾💔OWNER GOT FROM FRIEND. DUMPED AFTER 3 MONTHS. NOT ACTIVE ENOUGH.
🚨NEEDS #ADOPTION #RESCUE #FOSTER ASAP🚨
🚨164319 https://t.co/c0LguNXfrE
🙏🏽#ADOPT #PLEDGE #AdoptDontShop
#MANHATTAN #NYCACC #CAT https://t.co/t4RrtZnzqy","https://twitter.com/sachikoko/status/1648130557736546305","SENIOR","TABBY","ADOPTION","RESCUE","FOSTER","ADOPT","PLEDGE","AdoptDontShop","MANHATTAN","NYCACC","CAT",,,,,,,,,,,,,,,,,,,,,,,,,,"5262","536","548","18","2023-04-18T01:05:20.000Z"
"1648065366864678918","1648065366864678918","urgent help😭🆘
Poor #cat Micho was near the highway. He can't stand or walk, I took him to the shelter, he needs a doctor ASAP. Please help Micho to get to the doctor.Rt😓🙏🏻🆘💔 https://t.co/iZmZK82LT7","https://twitter.com/RescueCare/status/1648065366864678918","cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2517","94","104","3","2023-04-17T20:46:17.000Z"
"1648063650538704905","1648063650538704905","The best way to welcome spring? Jump onto the windowsill and go bird watching! 🐦👀

#Cat #CatHobbies #CatPeople #Pets #PetInsurance #ASPCAPetInsurance https://t.co/2ztEjBLXoC","https://twitter.com/ASPCAPetIns/status/1648063650538704905","Cat","CatHobbies","CatPeople","Pets","PetInsurance","ASPCAPetInsurance",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"43675","901","70","2","2023-04-17T20:39:28.000Z"
"1648049286008143872","1648049286008143872","“I think my cats started a cult”
  #cat #humor https://t.co/HEBrROPxld","https://twitter.com/KlatuBaradaNiko/status/1648049286008143872","cat","humor",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"13840","823","149","64","2023-04-17T19:42:23.000Z"
"1648039341912911899","1648039341912911899","My face today when I heard momma %@#*% because she still has to file taxes in the US even though we live in the UK. She is very upset at the nosey IRS! Glad I’m a cat 😸

#CatsOfTwitter #CatsOnTwitter #MondayMood #teambengal  #taxes #CatsLover #ihatepayingtaxes #cat https://t.co/nZKCw36xpx","https://twitter.com/LaneyBK/status/1648039341912911899","CatsOfTwitter","CatsOnTwitter","MondayMood","teambengal","taxes","CatsLover","ihatepayingtaxes","cat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1205","112","13","9","2023-04-17T19:02:52.000Z"
"1647812126378016769","1647812126378016769","Unlock the secrets of the life science industry with our Salary Survey! 

Get the latest compensation information for over 100 positions, including diagnostic, life science, and biotechnology. 

Discover base salary, bonus, and total compensation from accurate candidate data.","https://twitter.com/connexissearch/status/1647812126378016769",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1245","3","0","0","2023-04-17T04:00:00.000Z"
"1647671484851142657","1647671484851142657","The Street Mugger last night approximately 25 minutes after he’d had his evening meal

The personification of persistent

#cats #cats #Cat #CatsOnTwitter #CatsOfTwitter #NotMyCat https://t.co/4VfyKtJ8FN","https://twitter.com/FcJunction/status/1647671484851142657","cats","cats","Cat","CatsOnTwitter","CatsOfTwitter","NotMyCat",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"14810","1830","83","57","2023-04-16T18:41:08.000Z"
"1646868907515432960","1646868907515432960","Have a nice weekend everyone 🖤 #cat #comic https://t.co/FTCdTy6fjl","https://twitter.com/purrinink/status/1646868907515432960","cat","comic",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"196983","3657","664","47","2023-04-14T13:31:59.000Z"
